t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
0.0,0.066449999984766,0.06300914583112728,0.066449999984766,0.024330027732151954,0.7539695384272188,1.0,50.0,1.0500000001035457,3.5483211897899256,1.0620572147669756,0.33697173308566086,-16.561396912352375,0.40822772490817627,-0.00016535195539560147,5.7,5.7,11023.871000000001,0.0,8.0,0.0,-2.0966970922585982e-16,-2.4119785261066142e-14,0.0,1.0,1.0
0.01,0.06565016514737615,0.06300914621135573,0.06565016514737615,0.02437343788428015,0.7544633982949334,0.999999653052477,49.99998265262385,1.0499925065572784,3.496438672606529,1.062059196884474,0.3334720342363255,-16.871629432645406,0.4090100994940541,-0.0003068517736527747,5.7,5.7,11023.871000000001,0.0,8.0,0.0,-2.0966970922585982e-16,-2.4119785261066142e-14,0.0,1.0,1.0
0.02,0.06502540059624283,0.06300915133512593,0.06502540059624283,0.0244208817352701,0.7557674766565914,0.9999987288202634,49.99993644101317,1.0499777487171722,3.457052857974858,1.0620584885724396,0.3307685916654105,-17.127072488009613,0.40960076948878443,-0.00043021627577834577,5.699213800860295,5.699213800860295,11023.871000000001,0.0,8.0,0.0,-0.2787984623990518,11024.376984335648,0.0,1.0,1.0
0.03,0.06454979192666026,0.06300917193931045,0.06454979192666026,0.0244601484862178,0.7576069655589431,0.9999973748162281,49.9998687408114,1.0499590777817878,3.4269347591480734,1.0620521601188442,0.32872135776409306,-17.326495991900824,0.4100407371248589,-0.0005269742788749559,5.698450456568342,5.698450456568342,11023.871000000001,0.0,8.0,0.0,-0.2781553979029787,11025.287612413224,0.0,1.0,1.0
0.04,0.06419507025382423,0.06300922313433084,0.06419507025382423,0.024488784119799444,0.7597196117607965,0.9999957064526915,49.99978532263458,1.0499390272321287,3.403584941776192,1.0620411124779323,0.3271971223003259,-17.476993937903767,0.4103638135960105,-0.0005983975621340076,5.6976775791210335,5.6976775791210335,11023.871000000001,0.0,8.0,0.0,-0.2783782867938415,11024.841606799027,0.0,1.0,1.0
0.05,0.06393536894253678,0.06300932213542634,0.06393536894253678,0.024508258403529895,0.7618676919018015,0.9999938132243429,49.999690661217144,1.049919034774354,3.385096458143603,1.0620270844313446,0.32608129058576596,-17.588162802689386,0.41059675470855694,-0.0006492199953859574,5.696137154758479,5.696137154758479,11023.871000000001,0.0,8.0,0.0,-0.2768835086791394,11024.8431940143,0.0,1.0,1.0
0.060000000000000005,0.06374886347530334,0.0630094862265776,0.06374886347530334,0.02452117771904029,0.7638404262363415,0.9999917643594523,49.999588217972615,1.0498995743154826,3.3700294206146344,1.0620114717071083,0.3252802131434392,-17.669348197564435,0.4107602155245346,-0.0006847381083249963,5.696137154758479,5.696137154758479,11023.871000000001,0.0,8.0,0.0,-0.2768835086791394,11024.8431940143,0.0,1.0,1.0
0.07,0.06361794631997456,0.06300973099790025,0.06361794631997456,0.02453006385320669,0.7654710523937314,0.9999896135330987,49.99948067665493,1.0498804200452634,3.357305484629064,1.0619950037356203,0.3247195269451302,-17.72853695415284,0.4108699188391442,-0.0007096181593496119,5.694607054249928,5.694607054249928,11023.871000000001,0.0,8.0,0.0,-0.2748614755770431,11024.848265432664,0.0,1.0,1.0
0.08,0.06352878727052509,0.06301006894223417,0.06352878727052509,0.024536908730199744,0.7666230579622583,0.9999874025954971,49.99937012977485,1.0498609163632715,3.3461231037121197,1.0619777889571154,0.3243411477002317,-17.772078832202038,0.4109377621996148,-0.0007275286290231582,5.694607054249928,5.694607054249928,11023.871000000001,0.0,8.0,0.0,-0.2748614755770431,11024.848265432664,0.0,1.0,1.0
0.09,0.06347070005449205,0.0630105083696817,0.06347070005449205,0.02454309182775302,0.7672074505756531,0.9999851644225677,49.999258221128386,1.0498402037566645,3.3358913161617103,1.0619594879690406,0.3241001135265234,-17.804787743286244,0.41097275708922876,-0.0007411443821781989,5.693847217278399,5.693847217278399,11023.871000000001,0.0,8.0,0.0,-0.2735762772908053,11024.85051538532,0.0,1.0,1.0
