t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
0.0,0.066449999984766,0.06300914583112728,0.066449999984766,0.024330027732151954,0.7539695384272188,1.0,50.0,1.0500000001035457,3.5483211897899256,1.0620572147669756,0.33697173308566086,-16.561396912352375,0.40822772490817627,-0.00016535195539560147,5.7,5.7,11023.871000000001,0.0,8.0,0.0,-1.9494339370985837e-16,-2.411978526106594e-14,0.0,1.0,1.0
0.01,0.06565016514737615,0.06300914621135573,0.06565016514737615,0.02437343788428015,0.7544633982949334,0.999999653052477,49.99998265262385,1.0499925065572784,3.496438672606529,1.062059196884474,0.3334720342363255,-16.871629432645406,0.4090100994940541,-0.0003068517736527747,5.7,5.7,11023.871000000001,0.0,8.0,0.0,-1.9494339370985837e-16,-2.411978526106594e-14,0.0,1.0,1.0
0.02,0.06502540059624283,0.06300915133512593,0.06502540059624283,0.0244208817352701,0.7557674766565914,0.9999987288202634,49.99993644101317,1.0499777487171722,3.457052857974858,1.0620584885724396,0.3307685916654105,-17.127072488009613,0.40960076948878443,-0.00043021627577834577,5.68929991635679,5.68929991635679,11023.871000000001,0.0,8.0,0.0,0.08180654475729444,11024.376995448998,0.0,1.0,1.0
0.03,0.06454979192431931,0.06300917188128215,0.06454979192431931,0.024460148486305774,0.7575508101446662,0.9999973748162281,49.9998687408114,1.049959077781778,3.426934758992335,1.062052160118844,0.3287213577538202,-17.326495992813356,0.41004073712720024,-0.0005269742792442098,5.678922123142777,5.678922123142777,11023.871000000001,0.0,8.0,0.0,0.07245928080160802,11025.28589518679,0.0,1.0,1.0
0.04,0.0641950701854464,0.0630092224469288,0.0641950701854464,0.02448878412317472,0.7594945464980368,0.999995706452673,49.99978532263365,1.0499390272315496,3.403584937302726,1.06204111247803,0.32719712200199325,-17.476993965330532,0.41036381366340824,-0.0005983975736548315,5.669028264399933,5.669028264399933,11023.871000000001,0.0,8.0,0.0,0.05767157916914133,11024.843702772378,0.0,1.0,1.0
0.05,0.06393536847226412,0.0630093187968697,0.06393536847226412,0.024508258428756743,0.7613137580789376,0.9999938132241434,49.99969066120717,1.0499190347692495,3.385096427558533,1.062027084431891,0.32608128853916263,-17.588162993836708,0.4105967551692962,-0.0006492200763940325,5.651647955097303,5.651647955097303,11023.871000000001,0.0,8.0,0.0,0.01478756006551424,11024.84468256712,0.0,1.0,1.0
0.060000000000000005,0.06374886156349038,0.0630094754018094,0.06374886156349038,0.02452117782712101,0.7627211685699474,0.9999917643583804,49.99958821791902,1.0498995742908392,3.3700292967431817,1.0620114717081928,0.3252802048380989,-17.669348981811908,0.41076021738920226,-0.0006847384425700516,5.651647955097303,5.651647955097303,11023.871000000001,0.0,8.0,0.0,0.01478756006551424,11024.84468256712,0.0,1.0,1.0
0.07,0.06361794050855821,0.06300970319465335,0.06361794050855821,0.024530064194200386,0.7635719127440515,0.9999896135290887,49.99948067645443,1.0498804199596883,3.3573051090250994,1.0619950037344739,0.3247195017324371,-17.728539354013453,0.410869924486461,-0.0007096191865918742,5.638705194557955,5.638705194557955,11023.871000000001,0.0,8.0,0.0,-0.043094613797689085,11024.849798906209,0.0,1.0,1.0
0.08,0.06352877270342408,0.06301000818650665,0.06352877270342408,0.024536909609614046,0.7637058432218572,0.9999874025835728,49.99937012917864,1.049860916123625,3.3461221636998806,1.0619777889414297,0.3243410845663021,-17.772084877972386,0.41093777631013695,-0.0007275312267387179,5.638705194557955,5.638705194557955,11023.871000000001,0.0,8.0,0.0,-0.043094613797689085,11024.849798906209,0.0,1.0,1.0
0.09,0.06347066830157942,0.06301039038006369,0.06347066830157942,0.02454309378810599,0.7630799295485966,0.9999851643924433,49.99925821962216,1.0498402031818235,3.335889268825015,1.061959487904097,0.3240999760218484,-17.80480097215682,0.41097278775893353,-0.000741150085859222,5.6342647848589715,5.6342647848589715,11023.871000000001,0.0,8.0,0.0,-0.07597267973056722,11024.851881006787,0.0,1.0,1.0
0.09999999999999999,0.06343544743567973,0.06301084335228736,0.06343544743567973,0.02454945389562018,0.7616815634153145,0.9999829249792263,49.99914624896131,1.0498173861188473,3.326174837467144,1.061939503278785,0.3239614994044377,-17.83021216179439,0.41098183678891287,-0.0007523069946633737,5.631312388795242,5.631312388795242,11023.871000000001,0.0,8.0,0.0,-0.11047140742055213,11024.85382124525,0.0,1.0,1.0
0.10999999999999999,0.06341688674186934,0.06301135429574867,0.06341688674186934,0.024556403958665027,0.7595491978232506,0.999980705089211,49.99903525446055,1.0497916486067151,3.3166681077331637,1.0619171411892812,0.3238989516108186,-17.850823677675898,0.4109702351516167,-0.0007621747852062112,5.629905896561751,5.629905896561751,11023.871000000001,0.0,8.0,0.0,-0.14578930546721056,11024.855465867045,0.0,1.0,1.0
0.11999999999999998,0.06341026673498297,0.06301190442293837,0.06341026673498297,0.024564056788991474,0.7567713371900138,0.9999785213374441,49.99892606687221,1.0497623216436125,3.3071496984086397,1.0618917305762896,0.32389176197130654,-17.868369122377455,0.4109421502238344,-0.0007714430991265214,5.630067536577296,5.630067536577296,11023.871000000001,0.0,8.0,0.0,-0.18110880020812556,11024.85689052064,0.0,1.0,1.0
0.12999999999999998,0.06341201577657778,0.06301246979410298,0.06341201577657778,0.024572329357484376,0.7534799768731462,0.9999763870497551,49.99881935248776,1.049728917028147,3.2974692393826563,1.0618627014122606,0.32392407258077816,-17.884016359021746,0.4109009090381599,-0.0007804653938812498,5.631783527427346,5.631783527427346,11023.871000000001,0.0,8.0,0.0,-0.21561466873382765,11024.858138006623,0.0,1.0,1.0
0.13999999999999999,0.06341943642977457,0.06301302249942033,0.06341943642977457,0.024581026024307607,0.7498422597388446,0.9999743128848897,49.998715644244484,1.0496911352757072,3.287528322927381,1.0618296283375905,0.3239836592846982,-17.89852960456162,0.4108492131885232,-0.000789374264922395,5.635004550613644,5.635004550613644,11023.871000000001,0.0,8.0,0.0,-0.2485125556481403,11024.859165510816,0.0,1.0,1.0
0.15,0.06343049775928841,0.06301353212029794,0.06343049775928841,0.02458990006490193,0.7460506936003687,0.9999723073031203,49.99861536515601,1.049648856177764,3.277267454998751,1.0617922477625712,0.3240611159185191,-17.912392380270827,0.4107892888886474,-0.0007981675839452306,5.639647035495003,5.639647035495003,11023.871000000001,0.0,8.0,0.0,-0.2790474395393503,11024.860001697114,0.0,1.0,1.0
0.16,0.06344367836100333,0.06301396738353039,0.06344367836100333,0.024598696291998404,0.7423123588096635,0.9999703769280004,49.99851884640002,1.0496021186714382,3.266656032523986,1.061750456125091,0.3241492357338173,-17.925898076718518,0.4107229916525759,-0.0008067700237239768,5.645595218435471,5.645595218435471,11023.871000000001,0.0,8.0,0.0,-0.3065205640078337,11024.860652631764,0.0,1.0,1.0
0.17,0.06345784742043242,0.06301429791477534,0.06345784742043242,0.0246071782202349,0.7388375961826544,0.9999685268332569,49.99842634166284,1.0495510952538953,3.2556846373942783,1.0617042959313523,0.3242425373393187,-17.939214898305487,0.41065188054738155,-0.0008150748332700641,5.660802044982251,5.660802044982251,11023.871000000001,0.0,8.0,0.0,-0.34986093465472135,11024.861389797363,0.0,1.0,1.0
0.18000000000000002,0.06347217385097643,0.06301449604215302,0.06347217385097643,0.024615143136922576,0.7358745688016908,0.9999667607757757,49.99833803878879,1.049496064908172,3.2443591322286736,1.061653934957608,0.3243368952666536,-17.952431131869428,0.4105772730068592,-0.0008229703079101016,5.660802044982251,5.660802044982251,11023.871000000001,0.0,8.0,0.0,-0.34986093465472135,11024.861389797363,0.0,1.0,1.0
