t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
0.0,0.066449999984766,0.15000000420644488,0.066449999984766,0.024330027732151954,1.000001703598206,1.0,50.0,1.0500000001035457,3.5483211897899256,1.0620572147669756,0.33697173308566086,-16.561396912352375,0.40822772490817627,-0.00016535195539560147,7.56,7.56,19786.768,10.0,13.0,0.0,-1.0651839829758616e-15,2.925947955522261e-14,0.0,1.0,1.0
0.01,0.08586891709653507,0.14999999169292025,0.08586891709653507,0.023379309239035428,0.9909605516326699,1.000008424925325,50.00042124626625,1.0500428188106004,4.807874679160943,1.0619628132691608,0.42376717567593947,-10.422718057049341,0.38922813539178797,0.003542767473139089,7.56,7.56,19786.768,10.0,13.0,0.0,-1.0651839829758616e-15,2.925947955522261e-14,0.0,1.0,1.0
0.02,0.10104065147785288,0.14999982334240758,0.10104065147785288,0.02235763327382962,0.9670869117473783,1.0000308748431468,50.00154374215734,1.0500017166914781,5.7632668955066055,1.061738947445994,0.4927833392929046,-6.713738587997365,0.3748694844301932,0.007222959305397392,7.5583553740792775,7.5583553740792775,19786.768,10.0,13.0,0.0,-0.27163928302618473,19762.39302493602,0.0,1.0,1.0
0.03,0.11258764742716354,0.14999914616796692,0.11258764742716354,0.021427847319448894,0.9333198824524336,1.0000637793986986,50.00318896993493,1.049864136608227,6.493040992934516,1.0614244256441823,0.5458258603708139,-4.282702539068569,0.36415793390097084,0.01047327510314042,7.556731426121208,7.556731426121208,19786.768,9.999999127278764,13.0,0.0,-0.27108348462050874,19763.21838753192,0.0,1.0,1.0
0.04,0.12119142607068255,0.14999747731369337,0.12119142607068255,0.020627511330176932,0.8943741603686319,1.000104345813254,50.0052172906627,1.049652393115784,7.058311420311594,1.061049894827263,0.5855955608674797,-2.6012065038712917,0.35627307411202525,0.013170453822042912,7.555072254410313,7.555072254410313,19786.77,10.000117820763183,13.0,0.0,-0.27263138776157336,19762.04186732507,0.0,1.0,1.0
0.05,0.12748261484803966,0.1499942620977954,0.12748261484803966,0.0199485414371552,0.8545254280908332,1.0001504123040739,50.007520615203696,1.049403192286077,7.5057235488458875,1.0606485530220833,0.6147968453460739,-1.3878262581435457,0.35056020906749286,0.015327851972975839,7.551780953752595,7.551780953752595,19786.776,10.000033860038771,13.0,0.0,-0.2717580090283071,19762.513816327162,0.0,1.0,1.0
0.060000000000000005,0.13199906273494683,0.14998884866852513,0.13199906273494683,0.019371186123238623,0.8174754926893847,1.0002003166195832,50.01001583097916,1.0491544807632054,7.870313395442981,1.0602541544301367,0.6358113995214704,-0.4783897654691497,0.3465055821394979,0.01701481568088297,7.551780953752595,7.551780953752595,19786.776,10.000033860038771,13.0,0.0,-0.2717580090283071,19762.513816327162,0.0,1.0,1.0
0.07,0.1351777671893293,0.14998087767684398,0.1351777671893293,0.018876184085635312,0.7863036981918514,1.0002527865318767,50.012639326593835,1.048938921543949,8.178036509795826,1.0598971345939883,0.6506066941808153,0.2286734369931312,0.3437108604319683,0.01831543679243764,7.548483840614354,7.548483840614354,19786.792,10.000021907207724,13.0,0.0,-0.27130245844329437,19762.52596780046,0.0,1.0,1.0
0.08,0.13736202247346913,0.1499696762000741,0.13736202247346913,0.018447373595894122,0.7633867456284309,1.0003068506320176,50.01534253160088,1.0487820226158653,8.447911070077867,1.0596022488638834,0.6607436143678858,0.7989979019313644,0.3418717113112173,0.019310063255568097,7.548483840614354,7.548483840614354,19786.792,10.000021907207724,13.0,0.0,-0.27130245844329437,19762.52596780046,0.0,1.0,1.0
0.09,0.13881522462375212,0.14995515658364597,0.13881522462375212,0.018071981421389743,0.7504112979205512,1.0003617665974076,50.01808832987038,1.048702269866365,8.693725701064425,1.0593880467970567,0.6674280075203588,1.2762598101373275,0.34075813156149637,0.02006781898963118,7.546835506374085,7.546835506374085,19786.804,10.000010808150323,13.0,0.0,-0.2709594627455731,19762.527252326017,0.0,1.0,1.0
