t_rosco,torque_offset_nm,gen_tq_meas_nm,f_grid_hz
1.19,-0.0,19880210.0,50.12018223112581
1.2,-0.0,19882190.0,50.12007959246767
1.21,-0.0,19884200.0,50.11996442626712
1.22,-0.0,19886230.0,50.11983798860275
1.23,-0.0,19888280.0,50.119701643677
1.24,-0.0,19890350.0,50.11955693403105
1.25,-0.0,19892450.0,50.119405627071764
1.26,-0.0,19894560.0,50.11924973157543
1.27,-0.0,19896690.0,50.119091481608315
1.28,-0.0,19898850.0,50.11893328838227
1.29,-0.0,19901020.0,50.11877766424991
1.3,-0.0,19903220.0,50.118627125720074
1.31,-0.0,19905430.0,50.118484084590605
1.32,-0.0,19907670.0,50.11835073802807
1.33,-0.0,19909930.0,50.11822896886817
1.34,-0.0,19912200.0,50.11812026711526
1.35,-0.0,19914500.0,50.118025681974906
1.36,-0.0,19916820.0,50.11794581086843
1.37,-0.0,19919150.0,50.11788082746077
1.38,-0.0,19921510.0,50.117830546461526
1.39,-0.0,19923880.0,50.11779451814721
1.4,-0.0,19926280.0,50.1177721412692
1.41,-0.0,19928690.0,50.11776278129747
1.42,-0.0,19931130.0,50.11776587973931
1.43,-0.0,19933580.0,50.117781042339985
1.44,-0.0,19936050.0,50.117808096445785
1.45,-0.0,19938540.0,50.11784711159072
1.46,-0.0,19941050.0,50.117898381849116
1.47,-0.0,19943580.0,50.11796237256083
1.48,-0.0,19946130.0,50.11803963704307
1.49,-0.0,19948690.0,50.11813071221977
1.5,-0.0,19951280.0,50.118236004366366
1.51,-0.0,19953880.0,50.11835567713676
1.52,-0.0,19956500.0,50.118489555002164
1.53,-0.0,19959140.0,50.11863705410266
1.54,-0.0,19961790.0,50.118797150329286
1.55,-0.0,19964470.0,50.11896839068084
1.56,-0.0,19967160.0,50.11914894895606
1.57,-0.0,19969870.0,50.11933672120804
1.58,-0.0,19972590.0,50.11952947006802
1.59,-0.0,19975340.0,50.119724997062974
1.6,-0.0,19978100.0,50.119921289778915
1.61,-0.0,19980870.0,50.12011660931993
1.62,-0.0,19983670.0,50.12030953892649
1.63,-0.0,19986480.0,50.12049903237082
1.64,-0.0,19989300.0,50.120684442242116
1.65,-0.0,19992140.0,50.12086550274228
1.66,-0.0,19995000.0,50.12104226763867
1.67,-0.0,19997880.0,50.121215012666774
1.68,-0.0,20000770.0,50.121384113478165
1.69,-0.0,20003670.0,50.12154991306471
1.7,-0.0,20006590.0,50.1217125932679
1.71,-0.0,20009530.0,50.12187206489751
1.72,-0.0,20012480.0,50.122027890629916
1.73,-0.0,20015450.0,50.12217925155337
1.74,-0.0,20018430.0,50.12232496333577
1.75,-0.0,20021420.0,50.1224635419701
1.76,-0.0,20024430.0,50.12259331427074
1.77,-0.0,20027460.0,50.12271258341521
1.78,-0.0,20030490.0,50.12281981044217
1.79,-0.0,20033550.0,50.1229137558862
1.8,-0.0,20036610.0,50.12299355743403
1.81,-0.0,20039690.0,50.12305879093619
1.82,-0.0,20042780.0,50.123109521640316
1.83,-0.0,20045890.0,50.123146313326025
1.84,-0.0,20049000.0,50.12317018370101
1.85,-0.0,20052140.0,50.12318251266319
1.86,-0.0,20055280.0,50.123184913632244
1.87,-0.0,20058440.0,50.123179081386525
1.88,-0.0,20061600.0,50.12316663193251
1.89,-0.0,20064780.0,50.123148951177484
1.9,-0.0,20067980.0,50.12312706942629
1.91,-0.0,20071180.0,50.12310157706003
1.92,-0.0,20074390.0,50.12307259335679
1.93,-0.0,20077620.0,50.12303979402903
1.94,-0.0,20080860.0,50.123002496047334
1.95,-0.0,20084110.0,50.12295979247615
1.96,-0.0,20087360.0,50.122910747883296
1.97,-0.0,20090630.0,50.122854600620414
1.98,-0.0,20093910.0,50.12279090942682
1.99,-0.0,20097200.0,50.122719628934064
2.0,-0.0,20100500.0,50.1226411762393
2.01,-0.0,20103810.0,50.12255647406387
2.02,-0.0,20107130.0,50.122466938948826
2.03,-0.0,20110460.0,50.12237440886367
2.04,-0.0,20113800.0,50.12228102034433
2.05,-0.0,20117150.0,50.122189047858726
2.06,-0.0,20120500.0,50.12210072121537
2.07,-0.0,20123860.0,50.1219424749623
2.08,-0.0,20127240.0,50.12187500590978
2.09,-0.0,20130620.0,50.121816133043374
2.1,-0.0,20134010.0,50.1217657136166
2.11,-0.0,20137400.0,50.121723017567135
2.12,-0.0,20140810.0,50.12168685134478
2.13,-0.0,20144220.0,50.121655777108586
2.14,-0.0,20147640.0,50.121628377074224
2.15,-0.0,20151070.0,50.12160347449333
2.16,-0.0,20154500.0,50.121580266125996
2.17,-0.0,20157940.0,50.12155837401808
2.18,-0.0,20161390.0,50.121537873994306
2.19,-0.0,20164840.0,50.12151933016076
2.2,-0.0,20168300.0,50.121503787249644
2.21,-0.0,20171760.0,50.12149269032706
2.22,-0.0,20175240.0,50.121487745796514
2.23,-0.0,20178710.0,50.12149074048124
2.24,-0.0,20182190.0,50.12150333891552
2.25,-0.0,20185680.0,50.12152688056625
2.26,-0.0,20189180.0,50.12156219989701
2.27,-0.0,20192670.0,50.121609491766286
2.28,-0.0,20196180.0,50.1216682414357
2.29,-0.0,20199680.0,50.121737231885014
2.3,-0.0,20203190.0,50.121814632239726
2.31,-0.0,20206710.0,50.12189820876193
2.32,-0.0,20210230.0,50.121985630400104
2.33,-0.0,20213750.0,50.12207475878678
2.34,-0.0,20217280.0,50.1221638474105
2.35,-0.0,20220810.0,50.12225165113389
2.36,-0.0,20224350.0,50.12233744975097
2.37,-0.0,20227880.0,50.122421036183354
2.38,-0.0,20231430.0,50.12250273387247
2.39,-0.0,20234970.0,50.12258338745742
2.4,-0.0,20238520.0,50.122664272112615
2.41,-0.0,20242070.0,50.12274693491909
2.42,-0.0,20245620.0,50.12283299033095
2.43,-0.0,20249170.0,50.12292389390909
2.44,-0.0,20252730.0,50.12302072003044
2.45,-0.0,20256280.0,50.123123970136604
2.46,-0.0,20259840.0,50.12323343735776
2.47,-0.0,20263410.0,50.12334814851669
2.48,-0.0,20266970.0,50.12346639613294
2.49,-0.0,20270530.0,50.12358587503694
2.5,-0.0,20274100.0,50.12370398666588
2.51,-0.0,20277660.0,50.123818198905845
2.52,-0.0,20281230.0,50.12392633544282
2.53,-0.0,20284800.0,50.12402676503738
2.54,-0.0,20288370.0,50.12411849131414
2.55,-0.0,20291940.0,50.124201147702266
2.56,-0.0,20295510.0,50.12427497123794
2.57,-0.0,20299080.0,50.124340812608814
2.58,-0.0,20302650.0,50.124400110051894
