t,torque_offset_nm,gen_tq_meas_nm,gen_speed_rpm,rot_speed_rpm
1.05,0.0,13620170.0,0.5877172,0.5877172
1.06,0.0,13618880.0,0.587648,0.587648
1.07,0.0,13617560.0,0.5875791,0.5875791
1.08,0.0,13616230.0,0.5875106,0.5875106
1.09,0.0,13614870.0,0.5874426,0.5874426
1.1,0.0,13613500.0,0.587375,0.587375
1.11,0.0,13612100.0,0.5873078,0.5873078
1.12,0.0,13610680.0,0.5872411,0.5872411
1.13,0.0,13609250.0,0.5871747,0.5871747
1.14,0.0,13607790.0,0.5871088,0.5871088
1.15,0.0,13606310.0,0.5870433,0.5870433
1.16,0.0,13604810.0,0.5869781,0.5869781
1.17,0.0,13603300.0,0.5869135,0.5869135
1.18,0.0,13601760.0,0.5868492,0.5868492
1.19,0.0,13600200.0,0.5867854,0.5867854
1.2,0.0,13598620.0,0.5867219,0.5867219
1.21,0.0,13597020.0,0.5866588,0.5866588
1.22,0.0,13595400.0,0.5865962,0.5865962
1.23,0.0,13593770.0,0.586534,0.586534
1.24,0.0,13592110.0,0.5864722,0.5864722
1.25,0.0,13590430.0,0.5864107,0.5864107
1.26,0.0,13588730.0,0.5863497,0.5863497
1.27,0.0,13587010.0,0.586289,0.586289
1.28,0.0,13585270.0,0.5862287,0.5862287
1.29,0.0,13583510.0,0.5861688,0.5861688
1.3,0.0,13581740.0,0.5861093,0.5861093
1.31,0.0,13579940.0,0.5860502,0.5860502
1.32,0.0,13578120.0,0.5859914,0.5859914
1.33,0.0,13576280.0,0.585933,0.585933
1.34,0.0,13574430.0,0.585875,0.585875
1.35,0.0,13572550.0,0.5858173,0.5858173
1.36,0.0,13570660.0,0.5857601,0.5857601
1.37,0.0,13568740.0,0.5857031,0.5857031
1.38,0.0,13566810.0,0.5856465,0.5856465
1.39,0.0,13564860.0,0.5855902,0.5855902
1.4,0.0,13562890.0,0.5855343,0.5855343
1.41,0.0,13560900.0,0.5854787,0.5854787
1.42,0.0,13558890.0,0.5854234,0.5854234
1.43,0.0,13556860.0,0.5853685,0.5853685
1.44,0.0,13554820.0,0.5853139,0.5853139
1.45,0.0,13552750.0,0.5852595,0.5852595
1.46,0.0,13550670.0,0.5852055,0.5852055
1.47,0.0,13548570.0,0.5851518,0.5851518
1.48,0.0,13546450.0,0.5850983,0.5850983
1.49,0.0,13544310.0,0.5850452,0.5850452
1.5,0.0,13542160.0,0.5849923,0.5849923
1.51,0.0,13539980.0,0.5849397,0.5849397
1.52,0.0,13537790.0,0.5848874,0.5848874
1.53,0.0,13535590.0,0.5848354,0.5848354
1.54,0.0,13533360.0,0.5847836,0.5847836
1.55,0.0,13531120.0,0.584732,0.584732
1.56,0.0,13528860.0,0.5846807,0.5846807
1.57,0.0,13526580.0,0.5846297,0.5846297
1.58,0.0,13524290.0,0.5845789,0.5845789
1.59,0.0,13521980.0,0.5845283,0.5845283
1.6,0.0,13519650.0,0.5844779,0.5844779
1.61,0.0,13517300.0,0.5844278,0.5844278
1.62,0.0,13514940.0,0.5843778,0.5843778
1.63,0.0,13512560.0,0.5843281,0.5843281
1.64,0.0,13510170.0,0.5842786,0.5842786
1.65,0.0,13507760.0,0.5842293,0.5842293
1.66,0.0,13505340.0,0.5841802,0.5841802
1.67,0.0,13502900.0,0.5841313,0.5841313
1.68,0.0,13500440.0,0.5840825,0.5840825
1.69,0.0,13497970.0,0.584034,0.584034
1.7,0.0,13495480.0,0.5839857,0.5839857
1.71,0.0,13492980.0,0.5839376,0.5839376
1.72,0.0,13490460.0,0.5838896,0.5838896
1.73,0.0,13487930.0,0.5838419,0.5838419
1.74,0.0,13485380.0,0.5837943,0.5837943
