t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor,zmq_torque_offset_nm
0.18000000000000002,0.13920208628695557,0.14972063518990486,0.13920208628695557,0.014655607497967687,1.0192738559510661,1.0009104258246664,50.04552129123332,1.0436252498717884,12.140049117407628,1.0527612935453912,0.6706020816732639,6.129921093998041,0.338839571618474,0.023597679607136705,7.5253659724008495,7.5253659724008495,19787.186,10.499659636504266,13.0,0.0,-0.2638529352460103,19755.38313375759,0.0,1.0,1.0,-0.0
0.19000000000000003,0.13914768061496388,0.14969043227057857,0.13914768061496388,0.014280790750643608,1.062868967820974,1.0009608898763018,50.04804449381509,1.0452406554626625,12.4080608390215,1.0541755325267896,0.6691214236205748,6.548284741752293,0.3407442944715747,0.023965997816891044,7.5213106651548625,7.5213106651548625,19787.348,10.499499980832416,13.0,0.0,-0.26178412303961374,19755.562821639407,0.0,1.0,1.0,-0.0
0.20000000000000004,0.13905687768939834,0.14966113391904506,0.13905687768939834,0.013948933659826794,1.1024518154494856,1.0010090392505462,50.05045196252731,1.0470128903356075,12.678441608255008,1.0557647083857644,0.6673974291326596,6.9502067782926495,0.34279267874315744,0.02428245187295925,7.519286269332828,7.519286269332828,19787.442,10.499405211957683,13.0,0.0,-0.2606596722999229,19755.673786645373,0.0,1.0,1.0,-0.0
0.21000000000000005,0.1389397810939558,0.14963389513828973,0.1389397810939558,0.013657680661247293,1.136242785912162,1.001054758808757,50.05273794043785,1.0489256852462934,12.95148977815539,1.0575119447048693,0.6654877431494297,7.33739199503855,0.34496291505630894,0.024552206079466694,7.5172641941205045,7.5172641941205045,19787.544,10.49930532044107,13.0,0.0,-0.2594756484903647,19755.786949855443,0.0,1.0,1.0,-0.0
0.22000000000000006,0.1388054617828681,0.14960923047850638,0.1388054617828681,0.013405797715297525,1.1627635938857788,1.0010979545481675,50.054897727408374,1.0509624510847493,13.227330249901208,1.0594005260139672,0.6634457938150594,7.710827355061499,0.3472327597963594,0.024778984985607076,7.5152445532177845,7.5152445532177845,19787.658,10.499188353451535,13.0,0.0,-0.2582329977640127,19755.910748992213,0.0,1.0,1.0,-0.0
0.23000000000000007,0.1386620480273957,0.14958747736390945,0.1386620480273957,0.013193129250867526,1.180900982317,1.001138554116967,50.05692770584835,1.0531058682769456,13.505919829566917,1.061413471642953,0.6613213088158396,8.070821164723949,0.34957907393404175,0.024965125769291927,7.513227454350127,7.513227454350127,19787.78,10.499067971367413,13.0,0.0,-0.2569321067215721,19756.05499593423,0.0,1.0,1.0,-0.0
0.24000000000000007,0.138516498001115,0.14956890188600844,0.138516498001115,0.013019984223595103,1.1899531769828888,1.0011765071671583,50.058825358357915,1.0553379155292586,13.787075898963902,1.0635332641947797,0.6591588481972432,8.417284348913926,0.3519786128123952,0.02511213357980744,7.511213007130648,7.511213007130648,19787.914,10.498931367584012,13.0,0.0,-0.2555736899673034,19756.19579825649,0.0,1.0,1.0,-0.0
0.25000000000000006,0.13837455467629953,0.1495535993097221,0.13837455467629953,0.012886761807642609,1.1896561257588831,1.0012117850570572,50.060589252852864,1.0576400313491117,14.070508118737061,1.065741831873998,0.6569972972815377,8.749923809620741,0.35440854951060097,0.02522105002497923,7.509201323442624,7.509201323442624,19788.06,10.498785372290504,13.0,0.0,-0.25415811994050047,19756.361222065185,0.0,1.0,1.0,-0.0
0.26000000000000006,0.1382408131481443,0.14954149206683007,0.1382408131481443,0.012793923926165136,1.180188512530433,1.0012443802796824,50.06221901398412,1.0599931997509178,14.35584416897743,1.068020625433997,0.6548701327799135,9.068290818509762,0.3568465013705886,0.02529250335437882,7.507192523274184,7.507192523274184,19788.214,10.498628277939593,13.0,0.0,-0.2526860302930008,19756.535499113368,0.0,1.0,1.0,-0.0
0.2700000000000001,0.13811882278962226,0.14953244024861984,0.13811882278962226,0.01274222303560404,1.1621556401531556,1.0012743061515503,50.06371530757752,1.0623778259010603,14.642650609282814,1.0703506090068553,0.6528061120638072,9.37171898567816,0.3592700900046447,0.02532650944515627,7.505186705527442,7.505186705527442,19788.382,10.498454961889404,13.0,0.0,-0.25115806301889904,19756.70992787095,0.0,1.0,1.0,-0.0
