t,YawBrTAyp,YawBrTAxp,HSShftTq
0.01,-4.2932727614015577e-16,-0.7970187978282575,-1.7791696421767394e-13
0.02,-0.2707320110248436,0.18039432587482715,752.0227880425091
0.03,-0.2699642633642596,0.17770400465500294,2205.4982148103095
0.04,-0.2717391822015147,0.1763747359677743,4292.140315021783
0.05,-0.2708669185983989,0.17903785855430376,9983.32030153531
0.060000000000000005,-0.2708669185983989,0.17903785855430376,9983.32030153531
0.07,-0.27047782811703436,0.17810589023497683,16902.935593106777
0.08,-0.27047782811703436,0.17810589023497683,16902.935593106777
0.09,-0.2701775703397753,0.17734193892018965,20490.697784181044
0.09999999999999999,-0.26981144171663185,0.17644291739818554,23982.422339344997
0.10999999999999999,-0.2693826751471626,0.1754629938736563,27248.67970898623
0.11999999999999998,-0.26889324325985775,0.17445253782793946,30171.072489596492
0.12999999999999998,-0.26834449536467425,0.17346345666628868,32646.47983370432
0.13999999999999999,-0.26773722161673863,0.1725449189666242,34590.64255789998
0.15,-0.2670717243294827,0.17173858380089888,35940.9679368854
0.16,-0.2663477554077436,0.17107814279688935,36658.46262664402
0.17,-0.26471995868747156,0.17029740643879168,36162.072265168026
0.18000000000000002,-0.26471995868747156,0.17029740643879168,36162.072265168026
0.19000000000000003,-0.2628461673041307,0.1703143371484262,33276.23375651485
0.20000000000000004,-0.2618135378867566,0.1706189729012079,31088.78155644747
0.21000000000000005,-0.2607151662870266,0.17110298600431087,28522.04865664154
0.22000000000000006,-0.2595498157817813,0.17174220877643512,25680.390957285566
0.23000000000000007,-0.25831620313605047,0.17250626553720882,22676.470842710554
0.24000000000000007,-0.25701569025329285,0.1733588972839739,19626.84998593337
0.25000000000000006,-0.2556475211738902,0.1742599592530736,16647.52063543371
0.26000000000000006,-0.254211154790826,0.17516749771308274,13849.547092022432
0.2700000000000001,-0.25270746839779806,0.17603714873169793,11334.977800073957
0.2800000000000001,-0.2511364601866717,0.17682538279723609,9193.177660018331
0.2900000000000001,-0.24949995696389587,0.17749107007011863,7497.710104918762
0.3000000000000001,-0.24779953779136216,0.1779975090396604,6303.87581510608
0.3100000000000001,-0.24603724517714703,0.17831180489765427,5646.987719849471
0.3200000000000001,-0.24421436988050926,0.17840478506105273,5541.432971712416
0.3300000000000001,-0.24233384949994538,0.17825945733114978,5980.541997218069
0.34000000000000014,-0.24039791605993915,0.17786552578354636,6937.252797112334
0.35000000000000014,-0.23840948379023763,0.1772229057849784,8365.53127222702
0.36000000000000015,-0.2363696571304106,0.1763328280715782,10202.477940221645
0.37000000000000016,-0.23428236794174148,0.17520952478279764,12371.02887298252
0.38000000000000017,-0.2321493341735784,0.1738772344086274,14783.13732488053
0.3900000000000002,-0.22997215846637895,0.17235835658298063,17343.306605974027
0.4000000000000002,-0.22775268331825538,0.17068506355515856,19952.33428928055
0.4100000000000002,-0.2254920557117605,0.168892817824769,22511.122661407935
0.4200000000000002,-0.2231913948988564,0.16701689090077584,24924.410220528676
0.4300000000000002,-0.2208512697969647,0.1650940912853128,27104.285630005517
0.4400000000000002,-0.2184722707096078,0.1631655191770549,28973.35549869752
0.45000000000000023,-0.2160543392561685,0.16126311622691508,30467.453911705685
0.46000000000000024,-0.21359734863559618,0.15942133893709737,31537.80021975662
0.47000000000000025,-0.21110097332496527,0.15766732949589524,32152.535157691735
0.48000000000000026,-0.20856451627684022,0.15602332355707976,32297.5886503899
0.49000000000000027,-0.20598890013555593,0.15450487778908584,31976.86080835728
0.5000000000000002,-0.20336982867306297,0.1531240705604723,31211.72233733547
0.5100000000000002,-0.20070851926268599,0.1518830586412793,30039.86605112398
0.5200000000000002,-0.19800376196795755,0.15077949511688096,28513.566446474473
0.5300000000000002,-0.19525478572690252,0.14980325052800308,26697.424003167464
0.5400000000000003,-0.19246081310999663,0.1489391618546664,24665.68884306763
0.5500000000000003,-0.1896218354278077,0.14816654902367743,22499.274367472444
0.5600000000000003,-0.18673744667616063,0.14746007192470756,20282.57749079341
0.5700000000000003,-0.18380783445712492,0.146791707318652,18100.230661253954
0.5800000000000003,-0.1808338036479608,0.1461291533408972,16033.908585986443
0.5900000000000003,-0.17781621377519127,0.14543985788320907,14159.30930511043
0.6000000000000003,-0.17475649817592812,0.14468988157757495,12543.419230070738
0.6100000000000003,-0.17165688164084633,0.14384610456039207,11242.160865797512
0.6200000000000003,-0.1685199415182574,0.14287644504290364,10298.502891623006
0.6300000000000003,-0.16534874512002512,0.14175110507099828,9741.09562255689
0.6400000000000003,-0.16213692520928044,0.14042461419986912,9583.472952482161
0.6500000000000004,-0.15890440290064564,0.13898996877352826,9823.839392287093
0.6600000000000004,-0.1556223769008052,0.13735328683380635,10445.438465281748
0.6700000000000004,-0.15230736254088784,0.1355566630371523,11417.478273833174
0.6800000000000004,-0.1489617005118361,0.1335848460522116,12696.566947268651
0.6900000000000004,-0.14558775254091688,0.1314442304265049,14228.595039667234
0.7000000000000004,-0.1421870828997904,0.12914964050377026,15950.984575209051
0.7100000000000004,-0.13876173230011507,0.12671860174324742,17795.213000561747
0.7200000000000004,-0.1353135231796348,0.12417227640640362,19689.511710728828
0.7300000000000004,-0.13184361452369073,0.1215330189003227,21561.633632898443
0.7400000000000004,-0.12835481481538344,0.11882917376594795,23341.584687022845
0.7500000000000004,-0.12484602270480799,0.11608727005510229,24964.21682865786
0.7600000000000005,-0.12131910513369244,0.11333624492976593,26371.587173692777
0.7700000000000005,-0.1177744526947859,0.11060193419028458,27514.99969712169
0.7800000000000005,-0.11421251675664869,0.10790937067696178,28356.6584781249
0.7900000000000005,-0.11063346969518174,0.1052810506192886,28870.877629846233
0.8000000000000005,-0.10703721778868416,0.10273419231442502,29044.81121855109
0.8100000000000005,-0.10342334352712489,0.10028132171743939,28878.685126233653
0.8200000000000005,-0.09979201454778269,0.09793513416979191,28385.531907158704
0.8300000000000005,-0.09614277576568218,0.09569744581155926,27590.448340074192
0.8400000000000005,-0.09247527150362458,0.09356862833529409,26529.412719947875
0.8500000000000005,-0.08878964485482786,0.09154395850284852,25247.71598089201
0.8600000000000005,-0.085085551466023,0.08961386859522084,23798.07209649293
0.8700000000000006,-0.08136371564574667,0.08776442783222518,22238.486559682322
0.8800000000000006,-0.0776235682256204,0.08597964222230142,20629.966872751313
0.8900000000000006,-0.07386591003801465,0.08423909639656074,19034.165240822833
0.9000000000000006,-0.0700912626120246,0.08252146703022023,17511.042913448564
0.9100000000000006,-0.06630048615425171,0.08080432135375248,16116.644352631112
0.9200000000000006,-0.062494883513708785,0.07906451112105113,14901.06286852645
0.9300000000000006,-0.05867538476830775,0.07728003458466347,13906.669938547868
0.9400000000000006,-0.054843623113284196,0.07542958086783015,13166.670678927729
0.9500000000000006,-0.051001068314805886,0.07349501957879695,12704.03276746675
0.9600000000000006,-0.04714956338277201,0.07146061490670605,12530.822263228361
0.9700000000000006,-0.04329069981706839,0.06931391278518452,12647.962916420773
0.9800000000000006,-0.03942646035878007,0.06704630121247027,13045.420505823391
0.9900000000000007,-0.035558889249375544,0.06465580747628957,13702.795922508527
1.0000000000000007,-0.03168934205918211,0.06214197026574562,14590.297416495452
1.0100000000000007,-0.02782016432314303,0.059509653578656584,15670.04743839071
1.0200000000000007,-0.023952881603631165,0.05676771994843902,16897.668403416563
1.0300000000000007,-0.020089303900332246,0.05392774131725684,18224.082511705346
1.0400000000000007,-0.016230513671700975,0.05100512731153011,19597.453041990684
1.0500000000000007,-0.012378130406683084,0.04801870055056501,20965.19150944616
1.0600000000000007,-0.008533280180011477,0.04498737422473773,22275.953997757693
1.0700000000000007,-0.004696691642563083,0.04193193178170161,23481.550759585916
1.0800000000000007,-0.0008694405057719117,0.038873246351026174,24538.70033323824
1.0900000000000007,0.0029481211191502714,0.03583155781654527,25410.56338258474
1.1000000000000008,0.006755234468843147,0.032825842135879225,26068.0046623817
1.1100000000000008,0.010551872777624531,0.029873743413721496,26490.538964542382
1.1200000000000008,0.014337565346349163,0.02698988383211732,26666.933340105006
1.1300000000000008,0.018112592018101916,0.024184986514161778,26595.44860563774
1.1400000000000008,0.021876915342750887,0.02146751065429034,26283.71814690936
1.1500000000000008,0.025630377151335947,0.01884244107155494,25748.276734920608
1.1600000000000008,0.029373542262959285,0.016310478713976315,25013.76221686321
1.1700000000000008,0.033106272545031276,0.013869162049221808,24111.828467536714
1.1800000000000008,0.03682859946996827,0.011513237263053871,23079.815073597078
1.1900000000000008,0.04054087252730463,0.00923330245289273,21959.228506969266
1.2000000000000008,0.04424294124910454,0.007017732534242162,20794.09683945
1.2100000000000009,0.04793485744329079,0.004852873567511481,19629.2612429071
1.2200000000000009,0.05161636536606001,0.002723328041039855,18508.670723273885
1.2300000000000009,0.05528750972470575,0.0006117793895721465,17473.743790851542
1.2400000000000009,0.05894796644702903,-0.0014985308906722715,16561.857687082484
1.2500000000000009,0.06259746825483656,-0.003624226324496327,15805.01946849846
1.260000000000001,0.06623534944164924,-0.005781561316453412,15228.766021000127
1.270000000000001,0.06986167251590868,-0.007984878732339846,14851.328473991938
1.280000000000001,0.07347560049907507,-0.010247122699132022,14683.089219654292
1.290000000000001,0.07707670516258223,-0.012577931992095344,14726.34498867404
1.300000000000001,0.0806644387493187,-0.014984990536314616,14975.378785388632
1.310000000000001,0.08423768826414853,-0.01747271642065039,15416.833100410806
1.320000000000001,0.0877973181015373,-0.020041437343979993,16030.363034956905
1.330000000000001,0.09134199192666491,-0.022689792050801093,16789.53997862329
1.340000000000001,0.09487117873243431,-0.025412243176478205,17662.96723196699
1.350000000000001,0.09838479245858096,-0.028201179687922445,18615.560035751492
1.360000000000001,0.10188219488271479,-0.031046055912096544,19609.940330408568
1.370000000000001,0.1053632563001958,-0.033934530309150286,20607.88962311761
1.380000000000001,0.10882757241178007,-0.03685288890153732,21571.80570832659
1.390000000000001,0.11227492156786785,-0.03978657801276017,22466.10726005039
1.400000000000001,0.11570339122738765,-0.04271811673084596,23258.534609265844
1.410000000000001,0.11911728864264928,-0.045634560026538956,23921.300034073818
1.420000000000001,0.12251194564099435,-0.048519093719739025,24432.046794411963
1.430000000000001,0.12588890221387153,-0.051359057079646366,24774.58479893628
1.440000000000001,0.12924744695431742,-0.054142148606786414,24939.379576584477
1.450000000000001,0.13258811106623242,-0.05685903668494916,24923.780472979925
1.460000000000001,0.13591039597786023,-0.05950186908851347,24731.98572871475
1.470000000000001,0.1392139393453373,-0.06206512746145847,24374.74939633672
1.480000000000001,0.14249894735072297,-0.06454700088081625,23868.847811435277
1.490000000000001,0.1457649584607214,-0.06694685681814078,23236.328649584062
1.500000000000001,0.14901117072996384,-0.0692673837356629,22503.577412595365
1.5100000000000011,0.15223807617306132,-0.07151349593890059,21700.237526074514
1.5200000000000011,0.15544319155139186,-0.07369161046671432,20858.02991393171
1.5300000000000011,0.158627868077757,-0.07581074870390739,20009.516807538985
1.5400000000000011,0.16179183971400923,-0.07787954273960998,19186.858543906634
1.5500000000000012,0.16493094144821405,-0.0799116197761519,18420.60974285918
1.5600000000000012,0.16804686543542408,-0.08191649795596882,17738.599691173058
1.5700000000000012,0.17113734384558116,-0.08390602134959953,17164.937424996693
1.5800000000000012,0.1742013277386233,-0.08589128518141598,16719.17635204631
1.5900000000000012,0.17723736064799284,-0.08788222160261185,16415.667258024194
1.6000000000000012,0.1802721186352067,-0.08984122579694982,16263.119710179724
1.6100000000000012,0.18322097541120205,-0.09191347302042918,16264.384548431855
1.6200000000000012,0.18617532960720534,-0.09395385084199115,16416.461892819618
1.6300000000000012,0.1890861577156749,-0.09604126700487707,16710.72873712995
1.6400000000000012,0.19196063667169494,-0.09815651636111523,17133.37471181463
1.6500000000000012,0.19479833993256912,-0.10030264089684193,17666.02389905505
1.6600000000000013,0.1975972467279891,-0.10247508773078358,18286.51698919948
1.6700000000000013,0.20035616456960648,-0.10466822434538624,18969.82064780739
1.6800000000000013,0.20307286227326107,-0.10687051988880676,19689.02668327313
1.6900000000000013,0.20574734904536218,-0.10908215719342278,20416.403165946827
1.7000000000000013,0.20837763364638928,-0.11128706759363388,21124.45502587802
1.7100000000000013,0.21096273850476124,-0.11347607581793195,21786.955510523265
1.7200000000000013,0.21350205006197667,-0.11563993709289955,22379.909366365187
1.7300000000000013,0.21599456226836725,-0.11776726120969921,22882.413052144708
1.7400000000000013,0.21843945264813458,-0.11984582547448362,23277.381503691468
1.7500000000000013,0.2208350846310702,-0.1218640922298578,23552.116913466365
1.7600000000000013,0.22318204696522606,-0.12381616729559199,23698.700938501283
1.7700000000000014,0.2254799004230655,-0.12569355896399165,23714.19905591501
1.7800000000000014,0.2277265369354009,-0.12748427891371628,23600.673239218908
1.7900000000000014,0.22992436733884125,-0.12919918367960603,23365.00636973611
1.8000000000000014,0.23207141237075898,-0.13082627298950353,23018.547790198274
1.8100000000000014,0.2341675939268097,-0.1323683032735292,22576.598281587907
1.8200000000000014,0.23621341047010408,-0.1338296930587449,22057.75585177177
1.8300000000000014,0.23820975054956198,-0.13521628531663218,21483.15029975529
1.8400000000000014,0.240153815481636,-0.13652255692878804,20875.59744808163
1.8500000000000014,0.24204711539391446,-0.13776390593668814,20258.706396554597
