t_rosco,torque_offset_nm,gen_tq_meas_nm,f_grid_hz
1.51,0.0,20283880.0,50.0
1.52,0.0,20286350.0,50.0
1.53,0.0,20288500.0,50.0
1.54,0.0,20290330.0,50.0
1.55,0.0,20291840.0,50.0
1.56,0.0,20293040.0,50.0
1.57,0.0,20293970.0,50.0
1.58,0.0,20294640.0,50.0
1.59,0.0,20295120.0,50.0
1.6,0.0,20295450.0,50.0
1.61,0.0,20295680.0,50.0
1.62,0.0,20295880.0,50.0
1.63,0.0,20296090.0,50.0
1.64,0.0,20296390.0,50.0
1.65,0.0,20296820.0,50.0
1.66,0.0,20297420.0,50.0
1.67,0.0,20298240.0,50.0
1.68,0.0,20299300.0,50.0
1.69,0.0,20300630.0,50.0
1.7,0.0,20302240.0,50.0
1.71,0.0,20304130.0,50.0
1.72,0.0,20306280.0,50.0
1.73,0.0,20308670.0,50.0
1.74,0.0,20311280.0,50.0
1.75,0.0,20314080.0,50.0
1.76,0.0,20317010.0,50.0
1.77,0.0,20320030.0,50.0
1.78,0.0,20323090.0,50.0
1.79,0.0,20326140.0,50.0
1.8,0.0,20329140.0,50.0
1.81,0.0,20332030.0,50.0
1.82,0.0,20334780.0,50.0
1.83,0.0,20337360.0,50.0
1.84,0.0,20339730.0,50.0
1.85,0.0,20341890.0,50.0
1.86,0.0,20343810.0,50.0
1.87,0.0,20345500.0,50.0
1.88,0.0,20346970.0,50.0
1.89,0.0,20348230.0,50.0
1.9,0.0,20349310.0,50.0
1.91,0.0,20350250.0,50.0
1.92,0.0,20351060.0,50.0
1.93,0.0,20351810.0,50.0
1.94,0.0,20352520.0,50.0
1.95,0.0,20353240.0,50.0
1.96,0.0,20354010.0,50.0
1.97,0.0,20354880.0,50.0
1.98,0.0,20355870.0,50.0
1.99,0.0,20357010.0,50.0
2.0,0.0,20358330.0,50.0
2.01,0.0,20359850.0,50.0
2.02,0.0,20361570.0,50.0
2.03,0.0,20363500.0,50.0
2.04,0.0,20365630.0,50.0
2.05,0.0,20367940.0,50.0
2.06,0.0,20370410.0,50.0
2.07,0.0,20373030.0,50.0
2.08,0.0,20375750.0,50.0
2.09,0.0,20378550.0,50.0
2.1,0.0,20381390.0,50.0
2.11,0.0,20384240.0,50.0
2.12,0.0,20387040.0,50.0
2.13,0.0,20389790.0,50.0
2.14,0.0,20392430.0,50.0
2.15,0.0,20394960.0,50.0
2.16,0.0,20397340.0,50.0
2.17,0.0,20399560.0,50.0
2.18,0.0,20401620.0,50.0
2.19,0.0,20403500.0,50.0
2.2,0.0,20405230.0,50.0
2.21,0.0,20406800.0,50.0
2.22,0.0,20408240.0,50.0
2.23,0.0,20409570.0,50.0
2.24,0.0,20410800.0,50.0
2.25,0.0,20411980.0,50.0
2.26,0.0,20413130.0,50.0
2.27,0.0,20414270.0,50.0
2.28,0.0,20415460.0,50.0
2.29,0.0,20416700.0,50.0
2.3,0.0,20418030.0,50.0
2.31,0.0,20419470.0,50.0
2.32,0.0,20421040.0,50.0
2.33,0.0,20422750.0,50.0
2.34,0.0,20424610.0,50.0
2.35,0.0,20426620.0,50.0
2.36,0.0,20428770.0,50.0
2.37,0.0,20431070.0,50.0
2.38,0.0,20433480.0,50.0
2.39,0.0,20436010.0,50.0
2.4,0.0,20438610.0,50.0
2.41,0.0,20441280.0,50.0
2.42,0.0,20443980.0,50.0
2.43,0.0,20446690.0,50.0
2.44,0.0,20449380.0,50.0
2.45,0.0,20452030.0,50.0
2.46,0.0,20454610.0,50.0
2.47,0.0,20457100.0,50.0
2.48,0.0,20459490.0,50.0
2.49,0.0,20461770.0,50.0
2.5,0.0,20463930.0,50.0
2.51,0.0,20465960.0,50.0
2.52,0.0,20467870.0,50.0
2.53,0.0,20469670.0,50.0
2.54,0.0,20471370.0,50.0
2.55,0.0,20472980.0,50.0
2.56,0.0,20474510.0,50.0
2.57,0.0,20476010.0,50.0
2.58,0.0,20477470.0,50.0
2.59,0.0,20478930.0,50.0
2.6,0.0,20480410.0,50.0
2.61,0.0,20481930.0,50.0
2.62,0.0,20483510.0,50.0
2.63,0.0,20485160.0,50.0
2.64,0.0,20486910.0,50.0
2.65,0.0,20488760.0,50.0
2.66,0.0,20490710.0,50.0
2.67,0.0,20492770.0,50.0
2.68,0.0,20494940.0,50.0
2.69,0.0,20497210.0,50.0
2.7,0.0,20499580.0,50.0
2.71,0.0,20502020.0,50.0
2.72,0.0,20504530.0,50.0
2.73,0.0,20507080.0,50.0
2.74,0.0,20509660.0,50.0
2.75,0.0,20512250.0,50.0
2.76,0.0,20514830.0,50.0
2.77,0.0,20517380.0,50.0
2.78,0.0,20519880.0,50.0
2.79,0.0,20522320.0,50.0
2.8,0.0,20524680.0,50.0
2.81,0.0,20526970.0,50.0
2.82,0.0,20529160.0,50.0
2.83,0.0,20531270.0,50.0
2.84,0.0,20533280.0,50.0
2.85,0.0,20535210.0,50.0
2.86,0.0,20537060.0,50.0
2.87,0.0,20538840.0,50.0
2.88,0.0,20540570.0,50.0
2.89,0.0,20542250.0,50.0
2.9,0.0,20543920.0,50.0
2.91,0.0,20545570.0,50.0
2.92,0.0,20547240.0,50.0
2.93,0.0,20548930.0,50.0
2.94,0.0,20550660.0,50.0
2.95,0.0,20552440.0,50.0
2.96,0.0,20554290.0,50.0
2.97,0.0,20556210.0,50.0
2.98,0.0,20558200.0,50.0
2.99,0.0,20560270.0,50.0
3.0,0.0,20562420.0,50.0
3.01,0.0,20564650.0,50.0
3.02,0.0,20566940.0,50.0
3.03,0.0,20569290.0,50.0
3.04,0.0,20571690.0,50.0
3.05,0.0,20574120.0,50.0
3.06,0.0,20576580.0,50.0
3.07,0.0,20579040.0,50.0
3.08,0.0,20581500.0,50.0
3.09,0.0,20583930.0,50.0
3.1,0.0,20586340.0,50.0
3.11,0.0,20588700.0,50.0
3.12,0.0,20591010.0,50.0
3.13,0.0,20593250.0,50.0
3.14,0.0,20595430.0,50.0
3.15,0.0,20597550.0,50.0
3.16,0.0,20599590.0,50.0
3.17,0.0,20601570.0,50.0
3.18,0.0,20603500.0,50.0
3.19,0.0,20605370.0,50.0
3.2,0.0,20607190.0,50.0
3.21,0.0,20608990.0,50.0
3.22,0.0,20610760.0,50.0
3.23,0.0,20612530.0,50.0
3.24,0.0,20614300.0,50.0
3.25,0.0,20616080.0,50.0
3.26,0.0,20617890.0,50.0
3.27,0.0,20619740.0,50.0
3.28,0.0,20621630.0,50.0
3.29,0.0,20623570.0,50.0
3.3,0.0,20625570.0,50.0
3.31,0.0,20627620.0,50.0
3.32,0.0,20629730.0,50.0
3.33,0.0,20631890.0,50.0
3.34,0.0,20634100.0,50.0
3.35,0.0,20636360.0,50.0
3.36,0.0,20638650.0,50.0
3.37,0.0,20640970.0,50.0
3.38,0.0,20643310.0,50.0
3.39,0.0,20645650.0,50.0
3.4,0.0,20647990.0,50.0
3.41,0.0,20650320.0,50.0
3.42,0.0,20652620.0,50.0
3.43,0.0,20654900.0,50.0
3.44,0.0,20657130.0,50.0
3.45,0.0,20659330.0,50.0
3.46,0.0,20661470.0,50.0
3.47,0.0,20663570.0,50.0
3.48,0.0,20665610.0,50.0
3.49,0.0,20667610.0,50.0
3.5,0.0,20669560.0,50.0
3.51,0.0,20671480.0,50.0
3.52,0.0,20673360.0,50.0
3.53,0.0,20675210.0,50.0
3.54,0.0,20677050.0,50.0
3.55,0.0,20678880.0,50.0
3.56,0.0,20680710.0,50.0
3.57,0.0,20682550.0,50.0
3.58,0.0,20684410.0,50.0
3.59,0.0,20686290.0,50.0
3.6,0.0,20688210.0,50.0
3.61,0.0,20690160.0,50.0
3.62,0.0,20692150.0,50.0
3.63,0.0,20694180.0,50.0
3.64,0.0,20696250.0,50.0
3.65,0.0,20698360.0,50.0
3.66,0.0,20700510.0,50.0
3.67,0.0,20702700.0,50.0
3.68,0.0,20704910.0,50.0
3.69,0.0,20707140.0,50.0
3.7,0.0,20709390.0,50.0
3.71,0.0,20711650.0,50.0
3.72,0.0,20713900.0,50.0
3.73,0.0,20716150.0,50.0
3.74,0.0,20718380.0,50.0
3.75,0.0,20720590.0,50.0
3.76,0.0,20722780.0,50.0
3.77,0.0,20724930.0,50.0
3.78,0.0,20727060.0,50.0
3.79,0.0,20729140.0,50.0
3.8,0.0,20731190.0,50.0
3.81,0.0,20733210.0,50.0
3.82,0.0,20735190.0,50.0
3.83,0.0,20737150.0,50.0
3.84,0.0,20739080.0,50.0
3.85,0.0,20740990.0,50.0
3.86,0.0,20742890.0,50.0
3.87,0.0,20744780.0,50.0
3.88,0.0,20746670.0,50.0
3.89,0.0,20748570.0,50.0
3.9,0.0,20750480.0,50.0
3.91,0.0,20752410.0,50.0
3.92,0.0,20754370.0,50.0
3.93,0.0,20756350.0,50.0
3.94,0.0,20758360.0,50.0
3.95,0.0,20760400.0,50.0
3.96,0.0,20762470.0,50.0
3.97,0.0,20764570.0,50.0
3.98,0.0,20766710.0,50.0
3.99,0.0,20768870.0,50.0
4.0,0.0,20771050.0,50.0
4.01,0.0,20773250.0,50.0
4.02,0.0,20775460.0,50.0
4.03,0.0,20777690.0,50.0
4.04,0.0,20779910.0,50.0
4.05,0.0,20782130.0,50.0
4.06,0.0,20784340.0,50.0
4.07,0.0,20786550.0,50.0
4.08,0.0,20788730.0,50.0
4.09,0.0,20790890.0,50.0
4.1,0.0,20793030.0,50.0
4.11,0.0,20795150.0,50.0
4.12,0.0,20797240.0,50.0
4.13,0.0,20799310.0,50.0
4.14,0.0,20801360.0,50.0
4.15,0.0,20803380.0,50.0
4.16,0.0,20805390.0,50.0
4.17,0.0,20807390.0,50.0
4.18,0.0,20809380.0,50.0
4.19,0.0,20811370.0,50.0
4.2,0.0,20813350.0,50.0
4.21,0.0,20815350.0,50.0
4.22,0.0,20817350.0,50.0
4.23,0.0,20819370.0,50.0
4.24,0.0,20821400.0,50.0
4.25,0.0,20823460.0,50.0
4.26,0.0,20825540.0,50.0
4.27,0.0,20827650.0,50.0
4.28,0.0,20829780.0,50.0
4.29,0.0,20831930.0,50.0
4.3,0.0,20834110.0,50.0
4.31,0.0,20836320.0,50.0
4.32,0.0,20838540.0,50.0
4.33,0.0,20840780.0,50.0
4.34,0.0,20843030.0,50.0
4.35,0.0,20845290.0,50.0
4.36,0.0,20847550.0,50.0
4.37,0.0,20849820.0,50.0
4.38,0.0,20852080.0,50.0
4.39,0.0,20854330.0,50.0
4.4,0.0,20856580.0,50.0
4.41,0.0,20858810.0,50.0
4.42,0.0,20861030.0,50.0
4.43,0.0,20863240.0,50.0
4.44,0.0,20865430.0,50.0
4.45,0.0,20867600.0,50.0
4.46,0.0,20869760.0,50.0
4.47,0.0,20871910.0,50.0
4.48,0.0,20874040.0,50.0
4.49,0.0,20876170.0,50.0
4.5,0.0,20878290.0,50.0
4.51,0.0,20880420.0,50.0
4.52,0.0,20882540.0,50.0
4.53,0.0,20884670.0,50.0
4.54,0.0,20886810.0,50.0
4.55,0.0,20888960.0,50.0
4.56,0.0,20891120.0,50.0
4.57,0.0,20893300.0,50.0
4.58,0.0,20895500.0,50.0
4.59,0.0,20897720.0,50.0
4.6,0.0,20899960.0,50.0
4.61,0.0,20902220.0,50.0
4.62,0.0,20904500.0,50.0
4.63,0.0,20906800.0,50.0
