t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
0.0,0.066449999984766,0.06300914583112728,0.066449999984766,0.024330027732151954,0.7539695384272188,1.0,50.0,1.0500000001035457,3.5483211897899256,1.0620572147669756,0.33697173308566086,-16.561396912352375,0.40822772490817627,-0.00016535195539560147,5.7,5.7,11023.871000000001,0.0,8.0,0.0,-2.1121955506315854e-16,4.417621069237666e-28,0.0,1.0,1.0
0.01,0.06565016514737615,0.06300914621135573,0.06565016514737615,0.02437343788428015,0.7544633982949334,0.999999653052477,49.99998265262385,1.0499925065572784,3.496438672606529,1.062059196884474,0.3334720342363255,-16.871629432645406,0.4090100994940541,-0.0003068517736527747,5.7,5.7,11023.871000000001,0.0,8.0,0.0,-2.1121955506315854e-16,4.417621069237666e-28,0.0,1.0,1.0
0.02,0.06502540059624283,0.06300915133512593,0.06502540059624283,0.0244208817352701,0.7557674766565914,0.9999987288202634,49.99993644101317,1.0499777487171722,3.457052857974858,1.0620584885724396,0.3307685916654105,-17.127072488009613,0.40960076948878443,-0.00043021627577834577,5.702773080734989,5.135816491613022,11023.871000000001,0.0,8.0,0.0,-0.15284923727297728,419.67831163198326,0.0,1.0,1.0
0.03,0.0645497919275007,0.06300917196014377,0.0645497919275007,0.024460148486185943,0.7576271264591252,0.9999973748162281,49.9998687408114,1.0499590777817913,3.4269347592039874,1.0620521601188442,0.3287213577677808,-17.326495991572997,0.41004073712401823,-0.0005269742787430013,5.705396666868551,4.603762658578163,11023.871000000001,0.0,8.0,0.0,-0.15259242709044543,1230.8200285710857,0.0,1.0,1.0
0.04,0.06419507027835807,0.06300922338074218,0.06419507027835807,0.024488784118588267,0.7598000473152058,0.9999957064526985,49.99978532263493,1.0499390272323363,3.4035849433812326,1.0620411124778975,0.32719712240736687,-17.476993928063024,0.41036381357183027,-0.0005983975580001733,5.707748130558357,4.123257704990895,11023.871000000001,0.0,8.0,0.0,-0.15298929990749607,2395.3150663784636,0.0,1.0,1.0
0.05,0.06393536911090578,0.06300932332902623,0.06393536911090578,0.024508258394495462,0.7620645979522277,0.9999938132244145,49.999690661220725,1.049919034776183,3.3850964690936203,1.062027084431149,0.32608129131849456,-17.58816273425216,0.4105967545436016,-0.0006492199663805271,5.711301474894874,3.382328730269049,11023.871000000001,0.0,8.0,0.0,-0.1526916200695094,5571.272146336215,0.0,1.0,1.0
0.060000000000000005,0.0637488641578972,0.06300949008236033,0.0637488641578972,0.024521177680436265,0.7642341134196395,0.9999917643598354,49.99958821799177,1.0498995743242907,3.3700294648403877,1.0620114717067233,0.3252802161087503,-17.669347917546332,0.4107602148587959,-0.0006847379889721964,5.711301474894874,3.382328730269049,11023.871000000001,0.0,8.0,0.0,-0.1526916200695094,5571.272146336215,0.0,1.0,1.0
0.07,0.06361794838678937,0.06300974085209772,0.06361794838678937,0.024530063731861354,0.7661339988258192,0.9999896135345283,49.999480676726414,1.0498804200757512,3.357305618205679,1.0619950037360464,0.3247195359118181,-17.72853610059847,0.41086991683080804,-0.000709617793939032,5.712918386622071,3.0122128828281722,11023.871000000001,0.0,8.0,0.0,-0.1523785225995674,9432.271619488147,0.0,1.0,1.0
0.08,0.0635287924282908,0.06301009036346135,0.0635287924282908,0.024536908418600577,0.7676314393066406,0.9999874025997346,49.99937012998673,1.049860916448325,3.346123436525651,1.061977788962761,0.3243411700535801,-17.772076691419016,0.4109377572039088,-0.0007275277090210563,5.712918386622071,3.0122128828281722,11023.871000000001,0.0,8.0,0.0,-0.1523785225995674,9432.271619488147,0.0,1.0,1.0
0.09,0.06347071124415363,0.06301054974416437,0.06347071124415363,0.024543091136357706,0.7686215070545638,0.9999851644332318,49.99925822166159,1.0498402039598418,3.335892037608084,1.061959487992252,0.3241001619817257,-17.80478308104408,0.41097274628238883,-0.000741142371630311,5.712920035784558,2.9813283641409414,11023.871000000001,0.0,8.0,0.0,-0.15215819262383024,11433.791767954037,0.0,1.0,1.0
