freq_hz,ss_amp_lockin_mps2,ss_std_mps2,ss_p2p_mps2
0.16,0.01742412814628476,0.012378451528615901,0.0366407740777746
0.18,0.027885768237516307,0.019759385544671253,0.058565879844825794
0.2,0.05145853802942682,0.036433926702894144,0.10683134894494489
0.21,0.07260080353959385,0.05102692229876773,0.14798712988686719
0.22,0.11669034972359901,0.0828351091332223,0.24503311654931448
0.226,0.15916888432666737,0.11130258728555613,0.312368070217369
0.23,0.17379053078695905,0.12332904259526975,0.35510356431681256
0.234,0.18028140519765887,0.1288617822210532,0.3757929943783279
0.238,0.18155303498333994,0.12810790107637116,0.3660641564567118
0.245,0.15181289151396596,0.10674162854212607,0.3072956345316566
0.26,0.08660919965324466,0.061399308283451914,0.1791856482551997
0.28,0.0577348196249229,0.04084367425363262,0.12034690423050359
0.3,0.0441927214051808,0.03131817714135208,0.0921498122950018
