t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor,zmq_torque_offset_nm
15.139999999999722,0.10883336473479929,0.10301409314247778,0.10883336473479929,0.02486769873898422,1.0372580597886683,0.9992285858081073,49.96142929040536,1.0489798369451095,4.3954760647891815,1.0621007472336879,0.532127824679882,-8.475273286008338,0.36384941703468704,0.006254137656081954,7.840989745863899,7.840989745863899,13144.577000000001,10.00504721888956,13.0,0.0,14340.534236939944,0.0,1.0,1.0,-6000000.0
15.149999999999721,0.10883246404709715,0.10301201765590795,0.10883246404709715,0.024867816484642806,1.037279162869772,0.9992284209253902,49.961421046269514,1.0489823046200928,4.256292475824104,1.062103213240129,0.5321225126117948,-8.614618757099224,0.3638525245745663,0.006253875727924334,7.841155522904854,7.841155522904854,13143.784,10.007506940764411,13.0,0.0,14339.862278607765,0.0,1.0,1.0,-6000000.0
15.159999999999721,0.10883156976899419,0.10300995746816408,0.10883156976899419,0.02486793352107059,1.0373001722654447,0.9992282565919602,49.96141282959801,1.0489847703599076,4.117080860740697,1.062105677152211,0.532117230585351,-8.753991169131728,0.36385562461683735,0.0062536157935910285,7.841320027641346,7.841320027641346,13142.996000000001,10.009958978676446,13.0,0.0,14339.19608213044,0.0,1.0,1.0,-6000000.0
15.169999999999721,0.10883068306655116,0.10300791271186034,0.10883068306655116,0.024868049861015346,1.0373210982576675,0.9992280928033265,49.96140464016632,1.0489872341331052,3.977841388675639,1.0621081389721638,0.5321119840480882,-8.89339022598143,0.3638587159675213,0.006253358079736849,7.841483340179737,7.841483340179737,13142.213,10.01240418639931,13.0,0.0,14338.537216920637,0.0,1.0,1.0,-6000000.0
15.17999999999972,0.10882980481633274,0.10300586784279563,0.10882980481633274,0.024868165523114157,1.0373419466165144,0.9992279295559909,49.961396477799546,1.0489896958579525,3.8385742149953086,1.062110598648744,0.5321067771340326,-9.032815681329557,0.3638617976659496,0.006253102746826772,7.841645529778586,7.841645529778586,13141.433,10.014842563933005,13.0,0.0,14337.886087824103,0.0,1.0,1.0,-6000000.0
15.18999999999972,0.10882893228255475,0.103003838668287,0.10882893228255475,0.024868280508003885,1.0373627206274354,0.9992277668457026,49.961388342285126,1.0489921555852852,3.6992792412823308,1.0621130561686392,0.5321015971052758,-9.17226794664135,0.3638648724634581,0.00625284923223066,7.841806649475721,7.841806649475721,13140.658,10.01727411127753,13.0,0.0,14337.240134968346,0.0,1.0,1.0,-6000000.0
15.19999999999972,0.10882806692747661,0.10300182532015201,0.10882806692747661,0.02486839481649586,1.0373834208523733,0.9992276046678386,49.96138023339193,1.0489946132952983,3.559956651302357,1.0621155115467609,0.5320964507671023,-9.311746671323283,0.3638679388952813,0.006252597835550689,7.84196674150839,7.84196674150839,13139.888,10.019698828432885,13.0,0.0,14336.596740645642,0.0,1.0,1.0,-6000000.0
15.20999999999972,0.1088272098274397,0.10299982009079577,0.1088272098274397,0.0248685084694688,1.0374040439154244,0.9992274430189654,49.96137215094827,1.0489970689037182,3.420606611661607,1.062117964735081,0.5320913431854877,-9.451251576094796,0.36387099579882876,0.006252348756070518,7.842125832228135,7.842125832228135,13139.122,10.022116715399068,13.0,0.0,14335.964189119384,0.0,1.0,1.0,-6000000.0
15.21999999999972,0.10882636010285085,0.10299782311060213,0.10882636010285085,0.024868621471872562,1.0374245839623886,0.9992272818958313,49.96136409479156,1.0489995223700732,3.2812291539910508,1.0621204156756037,0.5320862702986424,-9.590782732314112,0.36387404400072926,0.0062521018072400686,7.842283936511005,7.842283936511005,13138.36,10.024527772176084,13.0,0.0,14335.334405806303,0.0,1.0,1.0,-6000000.0
15.22999999999972,0.10882551715783366,0.10299583450961405,0.10882551715783366,0.024868733815912803,1.0374450337423273,0.9992271212946694,49.96135606473347,1.0490019736879748,3.14182432323891,1.0621228643444494,0.5320812293323377,-9.730340159212759,0.3638770840910705,0.006251856874047116,7.8424410566909275,7.8424410566909275,13137.602,10.02693199876393,13.0,0.0,14334.708666402337,0.0,1.0,1.0,-6000000.0
15.23999999999972,0.10882468058082198,0.1029938622575262,0.10882468058082198,0.02486884550097826,1.0374653848025248,0.9992269612113697,49.96134806056848,1.049004422867754,3.002392174718727,1.0621253107419177,0.5320762183679486,-9.869923848181621,0.3638801164869022,0.006251613872552634,7.842597183206402,7.842597183206402,13136.849,10.029329395162602,13.0,0.0,14334.088664298422,0.0,1.0,1.0,-6000000.0
15.24999999999972,0.10882385180330939,0.10299189080359607,0.10882385180330939,0.02486895653741694,1.037485626937828,0.9992268016423937,49.96134008211969,1.0490068698447832,2.8629328932648437,1.0621277548425867,0.5320712441005392,-10.00953345583037,0.3638831397028192,0.00625137308583999,7.842752295835885,7.842752295835885,13136.099,10.031722522693046,13.0,0.0,14333.472774478061,0.0,1.0,1.0,-6000000.0
15.25999999999972,0.10882302847444601,0.10298993595675117,0.10882302847444601,0.02486906693231627,1.0375057495805673,0.9992266425838324,49.96133212919162,1.0490093146622907,2.723446403010637,1.0621301966376877,0.532066295591846,-10.149169330333343,0.3638861560965908,0.00625113402399503,7.84290636521951,7.84290636521951,13135.354000000001,10.034103697392439,13.0,0.0,14332.863090152487,0.0,1.0,1.0,-6000000.0
15.269999999999719,0.10882221233916126,0.10298799784562875,0.10882221233916126,0.02486917668955037,1.0375257417694561,0.9992264840316916,49.96132420158458,1.049011757279563,2.583932904959012,1.0621326361295704,0.5320613809743396,-10.288831073051329,0.36388916390151516,0.006250897041371072,7.843059347491878,7.843059347491878,13134.614,10.036484018318191,13.0,0.0,14332.252831794025,0.0,1.0,1.0,-6000000.0
15.279999999999719,0.10882140468607775,0.10298606091550423,0.10882140468607775,0.02486928582627149,1.0375455909718034,0.999226325983385,49.96131629916925,1.0490141975854241,2.4443925787639076,1.0621350732468684,0.5320565063099659,-10.428518365504091,0.36389216172324024,0.006250662384143622,7.843211199957173,7.843211199957173,13133.877,10.038854093960184,13.0,0.0,14331.652555671386,0.0,1.0,1.0,-6000000.0
15.289999999999718,0.1088206030829722,0.10298414097452518,0.1088206030829722,0.02486939433630361,1.037565285326565,0.9992261684358866,49.96130842179433,1.0490166355920836,2.3048253443029014,1.06213750794205,0.5320516602840734,-10.568231562802469,0.3638951519829711,0.006250429558315397,7.843361951720546,7.843361951720546,13133.145,10.041220754507595,13.0,0.0,14331.055811485114,0.0,1.0,1.0,-6000000.0
15.299999999999718,0.108819809222023,0.10298222246474084,0.108819809222023,0.02486950220673116,1.0375848139359185,0.9992260113860321,49.961300569301606,1.049019071238951,2.1652313991608616,1.0621399401886604,0.532046850776179,-10.707970267343159,0.3638981329628757,0.006250198923698152,7.843511394135828,7.843511394135828,13132.416000000001,10.043575462223956,13.0,0.0,14330.455621005593,0.0,1.0,1.0,-6000000.0
15.309999999999718,0.10881902092671326,0.10298032119318146,0.10881902092671326,0.024869609436266735,1.0376041663157516,0.9992258548304492,49.96129274152246,1.0490215045649949,2.0256106771598925,1.0621423699738097,0.5320420676514978,-10.8477347935114,0.36390110685213684,0.0062499700344789575,7.843659528237069,7.843659528237069,13131.692000000001,10.045931877487611,13.0,0.0,14329.867213864612,0.0,1.0,1.0,-6000000.0
15.319999999999718,0.10881824006682962,0.10297842944065831,0.10881824006682962,0.024869716022763996,1.0376233324618827,0.999225698765798,49.9612849382899,1.0490239355216948,1.885963386660104,1.0621447972921934,0.5320373196200975,-10.987524718002593,0.36390407175881634,0.006249743276511613,7.843806274260558,7.843806274260558,13130.972,10.048272924825632,13.0,0.0,14329.275762983538,0.0,1.0,1.0,-6000000.0
15.329999999999718,0.10881746630907321,0.10297654732813846,0.10881746630907321,0.024869821974742724,1.037642302246339,0.9992255431894456,49.96127715947228,1.04902636407032,1.7462895912739684,1.06214722210195,0.5320326051616331,-11.127340019534177,0.36390702796794444,0.0062495185721212765,7.843951541162236,7.843951541162236,13130.256,10.050613972163655,13.0,0.0,14328.693360856922,0.0,1.0,1.0,-6000000.0
15.339999999999717,0.10881669945471988,0.1029746749751064,0.10881669945471988,0.02486992728590235,1.037661066156397,0.9992253880986334,49.96126940493167,1.0490287901881319,1.6065893602860433,1.0621496443730498,0.5320279233572291,-11.26718064834798,0.3639099756602716,0.00624929588625038,7.844095255710461,7.844095255710461,13129.544,10.052944774217922,13.0,0.0,14328.11031083562,0.0,1.0,1.0,-6000000.0
15.349999999999717,0.10881593938863379,0.10297280465622263,0.10881593938863379,0.024870031948916783,1.0376796151714687,0.999225233490551,49.96126167452755,1.0490312138611435,1.4668627673879084,1.0621520640855413,0.5320232736708873,-11.407046540207755,0.3639129149431205,0.006249075202196153,7.844237340182308,7.844237340182308,13128.835000000001,10.055272161177603,13.0,0.0,14327.532373465281,0.0,1.0,1.0,-6000000.0
15.359999999999717,0.10881518433902854,0.10297095217398596,0.10881518433902854,0.024870135956865765,1.0376979414226226,0.9992250793616027,49.96125396808013,1.0490336351606089,1.3271097680993642,1.062154481265082,0.5320186478262267,-11.546937938722774,0.3639158476412795,0.006248856163548009,7.844377721151114,7.844377721151114,13128.131,10.057590156627176,13.0,0.0,14326.957625064306,0.0,1.0,1.0,-6000000.0
15.369999999999717,0.10881443645562222,0.10296910979997334,0.10881443645562222,0.024870239314474782,1.0377160369462493,0.9992249257084886,49.96124628542443,1.049036054050928,1.187330587460532,1.0621568959288796,0.5320140558346507,-11.686854375317465,0.36391877159194336,0.006248639207095712,7.8445162947020375,7.8445162947020375,13127.431,10.059904736982164,13.0,0.0,14326.383430326901,0.0,1.0,1.0,-6000000.0
15.379999999999717,0.10881369560841278,0.10296727764695217,0.10881369560841278,0.024870342035529052,1.0377338928974955,0.9992247725288114,49.96123862644057,1.0490384704951612,1.0475253017476265,1.0621593080440757,0.5320094971251429,-11.826795795435618,0.3639216868760382,0.006248424291790789,7.84465296893396,7.84465296893396,13126.735,10.062212487147983,13.0,0.0,14325.816831285472,0.0,1.0,1.0,-6000000.0
15.389999999999716,0.10881296175045897,0.10296545582583196,0.10881296175045897,0.024870444114481294,1.037751500277586,0.9992246198201954,49.96123099100977,1.0490408844664834,0.9076939897860445,1.0621617175805063,0.5320049714869698,-11.966762122799159,0.3639245935197374,0.006248211412987348,7.844787641371497,7.844787641371497,13126.043,10.064511699577338,13.0,0.0,14325.249048259266,0.0,1.0,1.0,-6000000.0
