freq_hz,ss_amp_fit,ss_std,ss_p2p
0.1,0.005626455666920898,0.003980790371206001,0.011432148840369
0.19,0.047648679004223184,0.03331899141360445,0.0967119839285494
0.21,0.0953018825106526,0.0669350251734119,0.1920310393039663
0.226,0.20208231379282068,0.14436522269230842,0.4080387221858153
0.234,0.24990515379049646,0.17651828364408387,0.503258111355757
0.245,0.1954202959104404,0.1372217700281258,0.3959949006712777
0.26,0.1205854106851376,0.08604049161884561,0.2435942437978977
0.3,0.06332084738809912,0.04478343016752583,0.1282936090063834
0.4,0.03824763311334747,0.02705027786207597,0.07728153535373
